utterance,file
e det er l- like ved Lillestrøm,BB_d1_AML.anonym.txt
* Strømmen er det det,BB_d1_AML.anonym.txt
Strømmen,BB_d1_AML.anonym.txt
* å ja der ja,BB_d1_AML.anonym.txt
jeg bodde der til jeg var en fjorten eller noe sånn så # ja det var det egentlig,BB_d1_AML.anonym.txt
hva hva var du sa der en gang til med det fornavnet ditt,BB_d1_AML.anonym.txt
Monica,BB_d1_AML.anonym.txt
Monica,BB_d1_AML.anonym.txt
det trur ikke jeg er hun der Lewinsky,BB_d1_AML.anonym.txt
* takk,BB_d1_AML.anonym.txt
* hm ?,BB_d1_AML.anonym.txt
Monica,BB_d1_AML.anonym.txt
nei ingenting,BB_d1_AML.anonym.txt
nå har jeg både appelsin og appelsinjuice i hånda da så nå betyr det at jeg har veldig mye jeg skal si,BB_d1_AML.anonym.txt
* hæ hjemmebrent | | jeg skal ta den jeg,BB_d1_AML.anonym.txt
nei det var jo derfor,BB_d1_AML.anonym.txt
* ok,BB_d1_AML.anonym.txt
å ja det var derfor du skal si veldig mye,BB_d1_AML.anonym.txt
e neida # e Rebekka e syv og tyve # e # bor i Oslo # bodd der i åtte år oj vi knakk av hanken ja det var meg,BB_d1_AML.anonym.txt
| |,BB_d1_AML.anonym.txt
nei,BB_d1_AML.anonym.txt
ok # min tur jeg heter Anita # jeg er fem og tjue # og jeg er fra Oslo men e # bor i Trondheim men akkurat nå så bor jeg Fredrikstad,BB_d1_AML.anonym.txt
jeg heter Ramsy r a m s y,BB_d1_AML.anonym.txt
ram-,BB_d1_AML.anonym.txt
* r a m,BB_d1_AML.anonym.txt
-sy,BB_d1_AML.anonym.txt
s y,BB_d1_AML.anonym.txt
* s y,BB_d1_AML.anonym.txt
m,BB_d1_AML.anonym.txt
litt vanskelig for når jeg begynner første skoledag og sånn s- så må jeg si det ti ganger og sånn så jeg er vant med det da så dere kommer sikkert til å spørre meg mange ganger fra Ålesund # tre og tjue år,BB_d1_AML.anonym.txt
Ålesund ja,BB_d1_AML.anonym.txt
ja også liker jeg # bra musikk rock_and_roll,BB_d1_AML.anonym.txt
Deep Purple,BB_d1_AML.anonym.txt
* hva er bra musikk da ?,BB_d1_AML.anonym.txt
Ozzy Osbourne,BB_d1_AML.anonym.txt
Led Zeppelin,BB_d1_AML.anonym.txt
Led Zeppelin,BB_d1_AML.anonym.txt
det var det som var meninga med denne appelsinen her,BB_d1_AML.anonym.txt
jeg fikk ikke med meg innledninga så jeg # hva dere fekter med appelsin oppi trynet på meg for da,BB_d1_AML.anonym.txt
ok,BB_d1_AML.anonym.txt
Trond # opprinnelig fra Fredrikstad # bor nå i Nittedal like nord for Oslo akkurat på no- grensa til Oslo,BB_d1_AML.anonym.txt
hvor i Nittedal,BB_d1_AML.anonym.txt
* da skal du,BB_d1_AML.anonym.txt
få fortsette du # nå når du har fått ordet,BB_d1_AML.anonym.txt
* ja,BB_d1_AML.anonym.txt
joda,BB_d1_AML.anonym.txt
gi han den appelsinen med en gang så,BB_d1_AML.anonym.txt
* ja,BB_d1_AML.anonym.txt
e ja jeg heter Rodney # jeg jobber med eller jeg jobber i en barnehage # med små barn # syns jeg er koselig,BB_d1_AML.anonym.txt
mm,BB_d1_AML.anonym.txt
nei jeg gjør ikke det nei jeg jobber jobber i Nordsjøen # på en boreplattform som roughneck eller som boredekksarbeider,BB_d1_AML.anonym.txt
* mannsjobb,BB_d1_AML.anonym.txt
bra,BB_d1_AML.anonym.txt
# også drikker jeg altfor mye det gjør jeg så det skal jeg prøve å få bukt med her inne,BB_d1_AML.anonym.txt
ja det var riktig sted å | ja | ja det ser vi | ja men det er godt å høre lage sånt eget AA-hjørne borti her | | ja ja | |,BB_d1_AML.anonym.txt
e jeg heter Anne Mona # e # kommer fra og bor i Flekkefjord # er fire og tjue år e i oktober overtok jeg driften på en veikro i Flekkefjord # så jeg kjøpte driften # jobber deltid på Vinmonopolet,BB_d1_AML.anonym.txt
ja jeg heter Anette er trur jeg er yngst hvis ikke du gammel er du ?,BB_d1_AML.anonym.txt
har nettopp fylt tre og tjue å ja ok da er jeg fire og tyve # og bor i Halden # og jobber i Fredrikstad på en italiensk restaurant #,BB_d1_AML.anonym.txt
vær så god,BB_d1_AML.anonym.txt
takk,BB_d1_AML.anonym.txt
ja jeg heter Lars Joakim # og # var det ja hvor jeg kommer fra ja # jeg kommer fra Lillehammer egentlig # men jeg bodde i Bergen mens jeg var arbeidsledig,BB_d1_AML.anonym.txt
og jeg har faktisk jobba med barn # som ikke han # likte,BB_d1_AML.anonym.txt
* jo jo jo,BB_d1_AML.anonym.txt
du jeg har jobba med p- p- p-,BB_d1_AML.anonym.txt
p- p- p- p- p- | | ro ned nå,BB_d1_AML.anonym.txt
og faktisk de som er mest rampete og verste de heter faktisk Ronny,BB_d1_AML.anonym.txt
ja ja men jeg jeg heter jeg heter Rodney,BB_d1_AML.anonym.txt
han heter Rodney så det er enda verre,BB_d1_AML.anonym.txt
* hæ ?,BB_d1_AML.anonym.txt
as in Rex Rodney,BB_d1_AML.anonym.txt
* hva sa du ?,BB_d1_AML.anonym.txt
for pokker,BB_d1_AML.anonym.txt
han heter ?,BB_d1_AML.anonym.txt
Rodney,BB_d1_AML.anonym.txt
as in Rex Rodney,BB_d1_AML.anonym.txt
* Rodney # sånn som,BB_d1_AML.anonym.txt
å ja jeg syns han sa Ronny jeg,BB_d1_AML.anonym.txt
Rex Rodney den hesten,BB_d1_AML.anonym.txt
den der hesten # hey horse,BB_d1_AML.anonym.txt
| nei for all del | Rodney,BB_d1_AML.anonym.txt
nei Rodney ja å ja # nei vi har ingen verstinger som heter Rodney,BB_d1_AML.anonym.txt
* horse,BB_d1_AML.anonym.txt
ellers så føler jeg meg helt sikkert yngst her ## det gjør jeg nok og # derfor jeg går med den lua nå er for det at jeg fikk en skapdør i hodet e veit det høres litt rart ut # e # kjøkkenskapdør som knakk av så fikk jeg n i hodet og så måtte jeg klippe av meg tre dreads også har jeg en sånn # bandasjeting her da # så jeg kommer sikkert bare å ta av meg lua på badet når jeg skal skifte den greia da for den presser ned litt òg for det er ikke så mye å feste på på det huet det hadde vært bedre hvis du fikk skapdøra i huet men det har ikke du gjort,BB_d1_AML.anonym.txt
ja du hva du skal # skal du bare drive og barbere deg og sånn ?,BB_d1_AML.anonym.txt
hva ?,BB_d1_AML.anonym.txt
skal du bare drive og barbere deg hele tida,BB_d1_AML.anonym.txt
ja,BB_d1_AML.anonym.txt
faen er ikke døra,BB_d1_AML.anonym.txt
å ja er det,BB_d1_AML.anonym.txt
ja,BB_d1_AML.anonym.txt
holdt på_si Jim Reeves eller hva er det for noe ?,BB_d1_AML.anonym.txt
nei det er Rog- Roger Miller,BB_d1_AML.anonym.txt
*,BB_d1_AML.anonym.txt
er det det ja,BB_d1_AML.anonym.txt
* det er,BB_d1_AML.anonym.txt
ja Roger Miller,BB_d1_AML.anonym.txt
litt sånn country over n,BB_d1_AML.anonym.txt
ja du jeg du det der er,BB_d1_AML.anonym.txt
for to år siden jeg og så jeg slapp av,BB_d1_AML.anonym.txt
ja men e # jeg digger country jeg digger country,BB_d1_AML.anonym.txt
* ikke det skapet men sånn country-skapet,BB_d1_AML.anonym.txt
hvis du sa det for to tre år siden # så blir du mobba for folk trur at Bjøro Hå- Bjøro Håland er country,BB_d1_AML.anonym.txt
* du jeg skal jeg har så,BB_d1_AML.anonym.txt
ja,BB_d1_AML.anonym.txt
men køn- country er jo så mye annet men nå er det litt in med country nå,BB_d1_AML.anonym.txt
* ja ja ## ja ja ja,BB_d1_AML.anonym.txt
du jeg har så mye country-sanger,BB_d1_AML.anonym.txt
* det er så rart det greiene der altså,BB_d1_AML.anonym.txt
ja men jeg har så mye country-sanger,BB_d1_AML.anonym.txt
* har du det ?,BB_d1_AML.anonym.txt
ja ja for pokker # vi kjører noe John Denver etterpå,BB_d1_AML.anonym.txt
* dæven,BB_d1_AML.anonym.txt
glimrende,BB_d1_AML.anonym.txt
ja ja ja,BB_d1_AML.anonym.txt
jeg har fobi for ørene,BB_d1_AML.anonym.txt
han har ikke ører,BB_d1_AML.anonym.txt
vet du hva jeg trur du,BB_d1_AML.anonym.txt
* jeg har ikke ører,BB_d1_AML.anonym.txt
ljuger jeg trur ikke du har noe med det derre skapet jeg trur det er noe e annet og spesielt med deg som ikke,BB_d1_AML.anonym.txt
* vet du han har ikke har ikke noe # han har ikke kutta seg i hodet,BB_d1_AML.anonym.txt
neida han har ikke fått noe skap verken i hodet eller i beina han er mer sånn,BB_d1_AML.anonym.txt
* | ok # du,BB_d1_AML.anonym.txt
så du trur jeg ikke har fått et skapdør i huet,BB_d1_AML.anonym.txt
holder n,BB_d1_AML.anonym.txt
når du sa at du ikke ville vise hva ørene dine så,BB_d1_AML.anonym.txt
* nei ørene,BB_d1_AML.anonym.txt
kan jeg godt vise,BB_d1_AML.anonym.txt
* få,BB_d1_AML.anonym.txt
se på plasterlappen da,BB_d1_AML.anonym.txt
* få se da om,BB_d1_AML.anonym.txt
du har et øre # eller to,BB_d1_AML.anonym.txt
vil du # du kan få være med når jeg skifter i_kveld vil du det ?,BB_d1_AML.anonym.txt
skal du skifte hva er du skal skifte til nå da,BB_d1_AML.anonym.txt
* skifte # hvis,BB_d1_AML.anonym.txt
jeg må skifte bandasje,BB_d1_AML.anonym.txt
* skifte plasteret,BB_d1_AML.anonym.txt
å ja,BB_d1_AML.anonym.txt
jeg kan forstå det,BB_d1_AML.anonym.txt
* det sitter jo ikke,BB_d1_AML.anonym.txt
noe særlig på det er derfor jeg nettopp har den her,BB_d1_AML.anonym.txt
men e # hva hva drev du med da da ?,BB_d1_AML.anonym.txt
* nei # må du ikke ta noe hud fra,BB_d1_AML.anonym.txt
hæ ?,BB_d1_AML.anonym.txt
andre,BB_d1_AML.anonym.txt
hva drev du med da siden du,BB_d1_AML.anonym.txt
* nei jeg bare,BB_d1_AML.anonym.txt
"tok n opp altså jeg stod og stekte mat så er det krydder i den # men så står det "" obs skapdør løs "" står det på den e skapet for det at",BB_d1_AML.anonym.txt
* hvilken,BB_d1_AML.anonym.txt
leilighet var det da det er veldig,BB_d1_AML.anonym.txt
* det er i Bergen,BB_d1_AML.anonym.txt
å ja,BB_d1_AML.anonym.txt
for der den øverste var røket,BB_d1_AML.anonym.txt
å ja sånn ja,BB_d1_AML.anonym.txt
jammen da snakkes vi i morra da,BB_d1_AML.anonym.txt
ja fy_faen,BB_d1_AML.anonym.txt
var det kvarter igjen av dusjen ?,BB_d10_AML.anonym.txt
halvtime,BB_d10_AML.anonym.txt
du ser trøttere ut enn meg om morran du,BB_d10_AML.anonym.txt
bare hopp inn du Rebekka,BB_d10_AML.anonym.txt
* kan du ikke tørke deg ute da,BB_d10_AML.anonym.txt
ja,BB_d10_AML.anonym.txt
kanskje du skulle få av deg klærne da før du skal dusje,BB_d10_AML.anonym.txt
det sier jeg òg,BB_d10_AML.anonym.txt
skal dusje med klær på kanskje ?,BB_d10_AML.anonym.txt
ja selvfølgelig ikke mas på meg da # nå er jeg trøtt,BB_d10_AML.anonym.txt
du har ikke noe tid til å tørke deg,BB_d10_AML.anonym.txt
hæ ?,BB_d10_AML.anonym.txt
hæ ?,BB_d10_AML.anonym.txt
nei ingenting jeg snakker til han,BB_d10_AML.anonym.txt
om at ?,BB_d10_AML.anonym.txt
nei ingenting,BB_d10_AML.anonym.txt
nei jeg tørker meg utafor dusjen jeg # det går ## syns det er litt morsomt at Rebekka er litt mange,BB_d10_AML.anonym.txt
* du,BB_d10_AML.anonym.txt
kutt ut da for faen nå er jeg trøtt og nå er jeg sur og nå sa jeg det,BB_d10_AML.anonym.txt
* det er du trenger,BB_d10_AML.anonym.txt
ja og jeg syns det,BB_d10_AML.anonym.txt
ikke stå oppi ryggen på meg og flire,BB_d10_AML.anonym.txt
* jeg kan si syns,BB_d10_AML.anonym.txt
det er like morsomt for det jeg,BB_d10_AML.anonym.txt
ja men det syns ikke jeg,BB_d10_AML.anonym.txt
* nei men jeg syns,BB_d10_AML.anonym.txt
det er dritmorsomt,BB_d10_AML.anonym.txt
ja fin,BB_d10_AML.anonym.txt
hæ ?,BB_d10_AML.anonym.txt
trenger ikke fyre oppunder når jeg ber deg om at du lar være,BB_d10_AML.anonym.txt
har ikke,BB_d10_AML.anonym.txt
* det er unødvendig,BB_d10_AML.anonym.txt
Morten,BB_d10_AML.anonym.txt
"det det er det sånne ting reagerer jeg på òg for jeg tenker på sånn derre ## "" kan "" e nei jo # sånn derre # "" ta du trenger ikke å tørke deg i dusjen "" ## så står du der i dusjen",BB_d10_AML.anonym.txt
* jeg står jo og,BB_d10_AML.anonym.txt
venter på at hun skal ta av seg hun står jo fullt påkledd # så jeg tenkte at hvis hun ikke fikk dusje så er hun jo # da kan jeg jo stå der så lenge,BB_d10_AML.anonym.txt
ja ja,BB_d10_AML.anonym.txt
ja ## ja for jeg liker også å tørke meg inni der,BB_d10_AML.anonym.txt
ja,BB_d10_AML.anonym.txt
før liksom all kulda kommer og det der,BB_d10_AML.anonym.txt
"også syns jeg så hun er så dum så kødder jeg litt med henne for jeg så hun var jævlig morgentrett jeg sa jo først "" fy_faen Rebekka du ser trøttere ut om morgningen enn meg "" sa jeg",BB_d10_AML.anonym.txt
"før jeg gikk i dusjen # så sa hun ikke noe ## også sier jeg etterpå at ## "" er du trøtt eller Rebekka "" # eller morgengretten # så ler jeg for jeg syns det er morsomt når folk er morgengretne # for jeg kan være det sjøl #",BB_d10_AML.anonym.txt
ja ja,BB_d10_AML.anonym.txt
""" fa- faen ikke kødd med det da """,BB_d10_AML.anonym.txt
det er jo_da n skal kødde litt da # for da kan man jo ## le litt av at andre er sånn,BB_d10_AML.anonym.txt
kan vi ikke finne på noe faenskap i dag da ?,BB_d10_AML.anonym.txt
# kaste vann inn på soverommene og slå på lyset ?,BB_d10_AML.anonym.txt
* ja men ikke sant det hadde vært,BB_d10_AML.anonym.txt
dritgøy når fått sånn derre dusjflaske disse herre rød flaskene så spruta vann på Rebekka og sånn men det er jo litt e,BB_d10_AML.anonym.txt
altså du graver din egen grav # også kan du stikke ut veit du at du skal ut liksom ## så er det det siste du kan gjøre,BB_d10_AML.anonym.txt
men Rebekka kan jo ikke bestemme at jeg skal ut av huset,BB_d10_AML.anonym.txt
nei men altså hvis jeg visste at den døra sto oppe og jeg var ute herfra da kunne jeg gjort det for da kunne jeg løpt ut da ku- da kunne jeg stått på døråpningen og dem kunne ikke komme ut for hvis dem gikk ut døra så var dem borte,BB_d10_AML.anonym.txt
kunne du ikke gjøre det ellers da ? # kan du ikke bare gå inn døra,BB_d10_AML.anonym.txt
* jeg kan,BB_d10_AML.anonym.txt
ikke gjøre det nå jeg skal jo bo her i huset,BB_d10_AML.anonym.txt
ja,BB_d10_AML.anonym.txt
nei herregud jeg begynner ikke å grave min egen grav,BB_d10_AML.anonym.txt
* nei hvem er det # hvem er det vi kan,BB_d10_AML.anonym.txt
kødde med som ikke blir så så sinnsykt forbanna da ?,BB_d10_AML.anonym.txt
Anette men hvis vi skal sprute vann på Anette så må jo Rodney også bli våt,BB_d10_AML.anonym.txt
* kan vi ikke vi,BB_d10_AML.anonym.txt
du hør her kan vi ikke,BB_d10_AML.anonym.txt
ligger n sammen med hun nå òg ?,BB_d10_AML.anonym.txt
ja,BB_d10_AML.anonym.txt
kan vi ikke bære Rodney og Anette inn i den ?,BB_d10_AML.anonym.txt
det hadde vært jævla kult bare tatt tak i de og båret de,BB_d10_AML.anonym.txt
ja # der skal de ligge,BB_d10_AML.anonym.txt
nei Trond ## jeg måtte skrifte i_går før jeg begynner å skjønne at det er noe # gærent når # både # når dere har drukket så var det både du # Morten # og en til som sa at jeg var # ja # hadde litt hjertebank # for Anette,BB_d10_AML.anonym.txt
* det kunne,BB_d10_AML.anonym.txt
jeg ha sagt selv om jeg var # klin edru,BB_d10_AML.anonym.txt
å ja ja ja men,BB_d10_AML.anonym.txt
nei jeg husker ikke at jeg sa det men e,BB_d10_AML.anonym.txt
* og så gå,BB_d10_AML.anonym.txt
nei men du altså faen,BB_d10_AML.anonym.txt
men det var jo ikke noe alvorlige greier det da # men du altså herregud er det noe å henge seg opp da,BB_d10_AML.anonym.txt
* ja ja men det,BB_d10_AML.anonym.txt
ja når folk står utafor her og skriker det så er det det,BB_d10_AML.anonym.txt
skriker ?,BB_d10_AML.anonym.txt
* nei da,BB_d10_AML.anonym.txt
har ikke noe å si vil du ha mer kaffe eller Trond ?,BB_d10_AML.anonym.txt
"folk som e s- seere som står utafor huset her og skriker "" Lars er hypp på Anette """,BB_d10_AML.anonym.txt
* nei takk,BB_d10_AML.anonym.txt
nei # gjorde dem det #,BB_d10_AML.anonym.txt
da er det noe gærent # da føler jeg ok # den er mottatt nå er det nå er det tid for å gå i skrifterommet,BB_d10_AML.anonym.txt
ja altså men det har har jo vært fra dag en her da at du har # ja hva skal jeg si da sverma rundt hun og lekeslåss og # stanga og hevet deg over hun i sofaen og liksom sånn,BB_d10_AML.anonym.txt
ja men vil det si at jeg l- # liker a ?,BB_d10_AML.anonym.txt
ja altså hvis du ikke liker en person så holder du deg langt unna,BB_d10_AML.anonym.txt
nei nei nei,BB_d10_AML.anonym.txt
jo,BB_d10_AML.anonym.txt
* jo,BB_d10_AML.anonym.txt
jo,BB_d10_AML.anonym.txt
du orker ikke å ## du orker ikke å gå sånn og,BB_d10_AML.anonym.txt
* jeg skal ikke si at du # gjør det,BB_d10_AML.anonym.txt
fleipe og ordne med en person over lang tid hvis e hvis du føler at ikke det er noe kjemi der,BB_d10_AML.anonym.txt
* ja men nå snakker vi om b-,BB_d10_AML.anonym.txt
nei men du spør om vi så klart det er kjemi der men ikke sånn # det er sånn søskengreie,BB_d10_AML.anonym.txt
ja ja # det kan jeg godt tru på,BB_d10_AML.anonym.txt
ja det kan du tro på,BB_d10_AML.anonym.txt
* ja,BB_d10_AML.anonym.txt
ja ja,BB_d10_AML.anonym.txt
* det er jo,BB_d10_AML.anonym.txt
bedre det enn at det ikke er noe på en måte,BB_d10_AML.anonym.txt
ja ja,BB_d10_AML.anonym.txt
så det er bra,BB_d10_AML.anonym.txt
men poenget mitt er at,BB_d10_AML.anonym.txt
* men det kan jo,BB_d10_AML.anonym.txt
misforstås,BB_d10_AML.anonym.txt
nei herregud,BB_d10_AML.anonym.txt
har det noe å si da det må jo være kult det hvis at noen trur at du er forelska i Anette,BB_d10_AML.anonym.txt
åffer er det kult da ?,BB_d10_AML.anonym.txt
jo det kan jo ikke være noe gærent i det hun ser jo ikke e ut som ei burugle og # og # ikke gjør hun masse gærne ting og alt sammen men bare all_right det,BB_d10_AML.anonym.txt
kunne skjønne at du skulle dementere det hvis du som du syns det var for jævlig # at noen kunne forbinde deg med Anette,BB_d10_AML.anonym.txt
* jammen det er ikke,BB_d10_AML.anonym.txt
* trur jeg nok,BB_d10_AML.anonym.txt
jammen det er jo ikke poenget ## samme om det er s-,BB_d10_AML.anonym.txt
innerst inne at hvis du følte at du og Anette,BB_d10_AML.anonym.txt
* var,BB_d10_AML.anonym.txt
jammen samme om det er,BB_d10_AML.anonym.txt
litt online på det der òg så hadde du no- nok syns at det var litt kult # hadde ikke det da,BB_d10_AML.anonym.txt
nei,BB_d10_AML.anonym.txt
kunne du aldri tenkt deg og vært sammen med Anette ?,BB_d10_AML.anonym.txt
nei,BB_d10_AML.anonym.txt
åffer ikke det da # hva er det med Anett- hva er det med Anette som ikke matcher dine ## dine erotiske # fantasier ?,BB_d10_AML.anonym.txt
* mine krav,BB_d10_AML.anonym.txt
det kan jeg si til deg når vi kommer ut herfra,BB_d10_AML.anonym.txt
ja,BB_d10_AML.anonym.txt
ja ja jeg syns Didi skulle vært her jeg,BB_d10_AML.anonym.txt
første,BB_d10_AML.anonym.txt
m,BB_d10_AML.anonym.txt
jeg kan nevne en ting da # alderen,BB_d10_AML.anonym.txt
ja det har du babla om før,BB_d10_AML.anonym.txt
* ja,BB_d10_AML.anonym.txt
det er bare pissprat er bullshit det #,BB_d10_AML.anonym.txt
* ja,BB_d10_AML.anonym.txt
du du kan si det er bullshit men j- som som jeg når jeg er når jeg er ett eller to år yngre ## så føler jeg det blir rart,BB_d10_AML.anonym.txt
det er bare for det du sier det til deg sjøl det,BB_d10_AML.anonym.txt
ja,BB_d10_AML.anonym.txt
så du har te- så du har tenkt på den måten altså selv om dere er du ser på dere bare som søsken,BB_d10_AML.anonym.txt
* andre veien er,BB_d10_AML.anonym.txt
jævlig bra jævlig bra poeng,BB_d10_AML.anonym.txt
* der kom jen- der kom jente,BB_d10_AML.anonym.txt
"der kom jen- der kom vet du # # det var ikke mye "" bra poeng """,BB_d10_AML.anonym.txt
jo,BB_d10_AML.anonym.txt
det var jentepoeng,BB_d10_AML.anonym.txt
nei,BB_d10_AML.anonym.txt
jo,BB_d10_AML.anonym.txt
* jeg,BB_d10_AML.anonym.txt
det var jævlig bra,BB_d10_AML.anonym.txt
har ikke tenkt på det men han spurte meg,BB_d10_AML.anonym.txt
mm,BB_d10_AML.anonym.txt
da må jeg svare for meg,BB_d10_AML.anonym.txt
ja det kom jævla kjapt da og gjennom-_og_gjennomtenkt,BB_d10_AML.anonym.txt
* det gjorde det ikke,BB_d10_AML.anonym.txt
husker du ikke at jeg satt der lenge,BB_d10_AML.anonym.txt
"en annen ting som jeg reagerer på vet du det er sånn at hvis når jeg sa til deg at "" ja men du er jo litt forelska i Anette "" så kunne du bare sagt",BB_d10_AML.anonym.txt
"hvis det var liksom sånn at det var helt # for deg var det helt utenkelig så kunne du bare sagt # "" jeg ? # nei "" # bare kimse av det # men nå har du blitt så jævlig opptatt av at å gjøre et poeng av at du ikke er det",BB_d10_AML.anonym.txt
*,BB_d10_AML.anonym.txt
jammen husker du jeg sto ved sjokoladen der i_sted ?,BB_d10_AML.anonym.txt
nei jeg vet du hva jeg har jævlig dårlig hukommelse så jeg er ikke så tilbake,BB_d10_AML.anonym.txt
"da kjørte jeg den "" jeg hæ ? "" # og da ljuger jeg",BB_d10_AML.anonym.txt
jeg skjønner ikke at det er noe å diskutere engang jeg,BB_d10_AML.anonym.txt
* nei,BB_d10_AML.anonym.txt
